Thermocouple data 12.08.2023 16:56:53
OxTankBot,FuelTank,OxInjector,FuelInjector,Internal,Timestamp
OxTa(nkBot,Fuel-Tank,OxIn_jector,Fu[elInjector,Intern2al,Timestamp
19.0,14.75,19.5,18.5,35.875,896952773
19.0,15.0,19.25,18.5,35.875,897052901
19.0,14.75,19.25,18.5,35.9375,897152936
18.75,14.5,19.25,18.5,35.875,897253064
18.75,14.5,19.5,18.5,35.875,897353104
18.75,14.25,19.25,18.5,35.875,897453183
19.0,14.5,19.25,18.5,35.9375,897553260
19.0,14.25,19.25,18.5,35.9375,897653294
19.0,14.25,19.5,18.5,35.9375,897753374
19.0,14.5,19.5,18.5,35.9375,897853414
18.75,14.5,19.25,18.5,35.875,897953493
18.75,14.25,19.25,18.5,35.9375,898053572
19.0,14.5,19.25,18.5,35.875,898153606
19.0,14.75,19.25,18.5,35.875,898253733
19.0,14.75,19.5,18.5,35.875,898353777
19.0,15.0,19.5,18.5,35.875,898453854
18.75,15.0,19.5,18.5,35.875,898553934
19.0,14.75,19.5,18.5,35.875,898653973
19.0,15.0,19.25,18.5,35.9375,898754097
19.0,15.0,19.5,18.5,35.875,898854137
19.0,15.0,19.5,18.5,35.875,898954215
19.0,14.75,19.5,18.5,35.875,899054295
19.0,15.0,19.25,18.5,35.875,899154337
19.0,15.0,19.25,18.5,35.875,899254454
19.0,14.75,19.5,18.5,35.9375,899354499
19.25,15.0,19.25,18.5,35.9375,899454531
19.0,15.0,19.5,18.5,35.9375,899554657
19.0,14.75,19.25,18.5,35.875,899654699
19.25,15.0,19.25,18.5,35.9375,899754828
19.0,15.0,19.25,18.5,35.875,899854862
19.0,14.75,19.5,18.5,35.875,899954941
19.0,14.75,19.25,18.5,35.875,900055019
19.0,14.75,19.5,18.5,35.9375,900155058
